"Страна","Дата","Заражений","Выздоровлений","Смертей","Заражений за день","Выздоровлений за день","Смертей за день"
Чехия,11.10.2020,117110,54980,987,3105,71,39
Узбекистан,09.01.2021,77530,75947,616,45,72,0
Бельгия,16.07.2020,63238,17253,9795,366,11,7
ОАЭ,10.08.2020,62704,56766,357,179,198,0
Мальдивы,24.12.2020,13558,13011,48,21,28,0
Иордания,30.06.2020,1132,882,9,4,15,0
Фиджи,21.08.2020,28,20,1,0,0,0
Бруней,10.06.2020,141,138,2,0,0,0
Танзания,04.10.2020,509,183,21,0,0,0
Шри-Ланка,19.02.2020,1,1,0,0,0,0
Индонезия,02.05.2020,10843,1665,831,292,74,31
Австралия,18.11.2020,27785,25507,907,8,2,0
Micronesia,30.08.2020,0,0,0,0,0,0
Албания,10.08.2020,6536,3379,200,125,37,1
Сьерра-Леоне,09.09.2020,2067,1622,72,3,9,0
Эфиопия,10.08.2020,23591,10411,420,773,205,13
Сент-Китс и Невис,23.06.2020,15,15,0,0,0,0
Болгария,29.10.2020,48150,19695,1225,2689,536,28
Западный берег реки Иордан,01.01.2021,139223,118926,1418,1219,1743,18
Того,18.03.2020,1,0,0,0,0,0
Индия,26.05.2020,150793,64277,4344,5843,3571,172
Афганистан,26.01.2020,0,0,0,0,0,0
Барбадос,27.09.2020,190,178,7,0,0,0
Новая Зеландия,15.04.2020,1386,728,9,20,100,0
Испания,26.09.2020,716481,150376,31232,0,0,0
Нигер,01.04.2020,74,0,5,47,0,2
Гвинея,14.05.2020,2473,895,15,99,39,1
Коморские острова,26.09.2020,478,458,7,4,5,0
Япония,12.08.2020,51288,34969,1066,986,833,8
Хорватия,20.01.2021,226550,218358,4711,902,478,27
Казахстан,04.09.2020,132924,104176,1893,570,0,4
Греция,11.06.2020,3088,1374,183,20,0,0
Мексика,27.06.2020,212802,160721,26381,4410,3894,602
Мали,31.07.2020,2535,1937,124,13,6,0
Польша,21.09.2020,79988,64604,2298,748,302,5
Сомали,21.05.2020,1594,204,61,21,16,0
ОАЭ,28.01.2020,0,0,0,0,0,0
Панама,23.10.2020,127866,103985,2622,639,587,10
Канада,13.04.2020,25680,7758,1225,1381,635,130
Мальдивы,12.06.2020,2003,1193,8,27,40,0
Индонезия,15.11.2020,467113,391991,15211,4106,3897,63
Шри-Ланка,30.12.2020,42702,34623,199,646,698,4
Турция,31.10.2020,375367,323971,10252,2213,1506,75
Фиджи,06.02.2020,0,0,0,0,0,0
Мальта,12.07.2020,674,660,9,0,2,0
Албания,28.01.2020,0,0,0,0,0,0
Великобритания,19.05.2020,236867,1099,34547,3058,9,501
Эфиопия,28.01.2020,0,0,0,0,0,0
Швеция,19.09.2020,88237,0,5865,0,0,0
Австралия,15.05.2020,7035,6359,98,16,25,0
Венесуэла,27.09.2020,72691,62427,606,751,899,6
Папский Престол,03.12.2020,27,15,0,0,0,0
Алжир,06.02.2020,0,0,0,0,0,0
Нигерия,18.08.2020,49895,37051,981,410,217,4
Соломоновы острова,17.11.2020,16,5,0,0,0,0
Уругвай,28.11.2020,5511,4185,75,208,78,1
Малави,29.05.2020,273,42,4,70,5,0
Норвегия,25.12.2020,46248,17998,421,317,0,0
США,28.12.2020,19396237,0,335130,174173,0,1841
Сейшельские острова,21.10.2020,151,148,0,2,0,0
Ямайка,19.03.2020,15,2,1,2,0,1
Монголия,21.08.2020,298,288,0,0,5,0
Эквадор,09.07.2020,64221,29184,4900,976,113,27
Италия,02.11.2020,731588,296017,39059,22253,3637,233
Вануату,28.02.2020,0,0,0,0,0,0
Либерия,13.03.2020,0,0,0,0,0,0
Джибути,13.07.2020,4977,4729,56,5,17,0
Гренада,16.08.2020,24,23,0,0,0,0
Гамбия,27.07.2020,326,66,8,49,6,2
Киргизия,13.12.2020,77356,70450,1312,297,656,5
Косово и Метохия,26.01.2021,58399,51083,1466,0,0,0
Камерун,24.08.2020,18762,16540,408,0,0,0
Судан,13.08.2020,12162,6305,792,47,23,6
Бахрейн,18.06.2020,20430,14696,55,469,511,6
Украина,03.05.2020,11913,1548,288,502,50,9
Германия,17.02.2020,16,1,0,0,0,0
Гондурас,29.06.2020,18818,1961,485,736,86,6
Марокко,12.11.2020,276821,226040,4570,6195,4297,64
Парагвай,13.08.2020,8389,5516,97,371,132,4
Эсватини,01.05.2020,106,12,1,6,0,0
Мальдивы,02.12.2020,13070,12001,47,21,33,0
Узбекистан,21.08.2020,38074,33989,260,527,728,8
Иордания,06.07.2020,1167,957,10,3,15,0
Чехия,01.10.2020,74255,34186,678,3492,743,23
Бельгия,20.06.2020,60550,16771,9696,74,20,1
ОАЭ,04.08.2020,61352,55090,351,189,227,0
Кувейт,25.05.2020,21967,6621,165,665,504,9
Micronesia,09.09.2020,0,0,0,0,0,0
Австралия,27.10.2020,27553,25219,907,14,7,2
Сент-Китс и Невис,19.07.2020,17,15,0,0,0,0
Сьерра-Леоне,30.08.2020,2022,1594,70,3,3,0
Эфиопия,04.08.2020,19877,8240,343,588,309,7
Албания,04.08.2020,5750,3031,176,130,0,4
Танзания,10.10.2020,509,183,21,0,0,0
Фиджи,26.07.2020,27,18,0,0,0,0
Индонезия,26.04.2020,8882,1107,743,275,65,23
Шри-Ланка,12.03.2020,2,1,0,0,0,0
Лаос,19.10.2020,23,22,0,0,0,0
Новая Зеландия,29.01.2021,2303,2207,25,-2,-1,0
Индия,19.12.2020,10031223,9580402,145477,26624,29690,341
Болгария,13.05.2020,2069,499,96,46,23,1
Западный берег реки Иордан,10.03.2020,26,0,0,7,0,0
Судно "Diamond Princess",10.04.2020,712,619,11,0,0,0
Мали,01.02.2020,0,0,0,0,0,0
Сербия,03.11.2020,51083,0,844,1878,0,11
Лесото,09.09.2020,1164,528,31,16,0,0
Хорватия,20.02.2020,0,0,0,0,0,0
Россия,09.04.2020,10131,698,76,1459,118,13
Бахрейн,26.11.2020,86347,84510,341,162,175,1
Мьянма,27.07.2020,350,292,6,0,2,0
Косово и Метохия,14.02.2020,0,0,0,0,0,0
Франция,10.10.2020,761441,103232,32684,26677,0,35
Колумбия,21.03.2020,196,1,0,38,0,0
Киргизия,01.06.2020,1817,1181,16,69,11,0
Таиланд,14.10.2020,3665,3463,59,13,6,0
Маврикий,16.09.2020,365,338,10,0,0,0
Кипр,31.08.2020,1488,1139,20,1,204,0
Эсватини,10.11.2020,6024,5737,117,11,5,0
Марокко,29.04.2020,4321,928,168,69,150,3
Германия,23.01.2021,2137691,1826161,51873,12430,12267,160
Бутан,24.10.2020,340,306,0,4,0,0
Украина,08.11.2020,474245,215357,8695,9647,2808,142
Люксембург,27.12.2020,45209,37574,458,0,0,0
Доминика,20.07.2020,18,18,0,0,0,0
Сент-Люсия,11.04.2020,15,1,0,0,0,0
Монако,23.01.2021,1345,1100,9,34,22,0
Норвегия,20.05.2020,8281,32,234,14,0,1
Камбоджа,29.09.2020,277,275,0,0,0,0
США,14.03.2020,2978,12,58,759,0,7
Уругвай,16.06.2020,849,801,24,1,9,1
Соломоновы острова,24.04.2020,0,0,0,0,0,0
Гвинея-Бисау,21.06.2020,1541,153,17,0,0,0
Алжир,26.07.2020,27357,18088,1155,593,12,9
Исландия,22.03.2020,568,36,1,95,14,0
Папский Престол,11.06.2020,12,12,0,0,0,0
Уганда,25.10.2020,11443,7351,101,146,70,2
Вануату,12.01.2021,1,1,0,0,0,0
Либерия,29.12.2020,1779,1406,83,0,0,0
Словакия,19.10.2020,30695,7536,92,860,177,4
Грузия,21.01.2021,251071,238101,2998,1137,1179,11
Бутан,31.05.2020,43,6,0,10,0,0
Гондурас,04.01.2021,123398,57348,3181,29,0,1
Доминика,25.02.2020,0,0,0,0,0,0
Сент-Люсия,30.07.2020,25,22,0,1,0,0
Мьянма,18.02.2020,0,0,0,0,0,0
Кипр,13.05.2020,905,449,17,2,0,1
Марокко,22.09.2020,105346,85883,1889,2227,1725,34
Колумбия,10.08.2020,397623,221484,13154,10142,8796,312
Франция,21.05.2020,183397,63976,28218,267,504,82
Киргизия,21.10.2020,53459,46444,1118,549,305,5
Маврикий,27.04.2020,334,302,10,2,3,1
Джибути,18.01.2021,5905,5822,61,0,0,0
Таиланд,25.05.2020,3042,2928,57,2,7,1
Камерун,09.11.2020,22421,21510,433,0,0,0
Косово и Метохия,05.07.2020,3356,1874,66,178,50,8
Сейшельские острова,13.12.2020,187,182,0,0,0,0
Монако,06.02.2020,0,0,0,0,0,0
Мавритания,19.12.2020,12278,8545,273,232,119,9
Словакия,26.05.2020,1513,1322,28,2,15,0
Эквадор,22.01.2021,237158,199332,14562,969,0,36
Алжир,07.04.2020,1468,113,193,45,23,20
Папский Престол,03.10.2020,12,12,0,0,0,0
Исландия,11.08.2020,1968,1844,10,6,6,0
США,02.07.2020,2750517,781970,129323,56627,51976,733
Камбоджа,07.06.2020,126,123,0,1,0,0
Норвегия,09.10.2020,15388,11863,275,167,0,0
Уругвай,08.10.2020,2226,1904,49,20,14,0
Грузия,04.02.2020,0,0,0,0,0,0
Гвинея-Бисау,28.02.2020,0,0,0,0,0,0
Соломоновы острова,17.09.2020,0,0,0,0,0,0
Танзания,21.05.2020,509,183,21,0,0,0
Фиджи,07.04.2020,15,0,0,1,0,0
Шри-Ланка,04.07.2020,2074,1885,11,5,22,0
Индонезия,15.09.2020,225030,161065,8965,3507,2660,124
Узбекистан,14.03.2020,0,0,0,0,0,0
Кувейт,29.08.2020,84224,75993,528,646,673,3
Micronesia,16.04.2020,0,0,0,0,0,0
Венесуэла,05.12.2020,104177,98879,916,300,0,3
Сент-Китс и Невис,24.02.2020,0,0,0,0,0,0
Сьерра-Леоне,12.05.2020,338,72,19,0,0,0
Эфиопия,12.04.2020,71,10,3,2,0,0
Албания,12.04.2020,446,217,23,13,20,0
Бруней,30.11.2020,150,145,3,0,0,0
Чехия,13.06.2020,9991,7219,328,53,4,-1
Бельгия,02.03.2020,8,1,0,6,0,0
ОАЭ,12.04.2020,4123,680,22,387,92,2
Иордания,15.02.2020,0,0,0,0,0,0
Хорватия,15.07.2020,3953,2629,120,126,71,0
Мексика,02.01.2021,1443544,1090905,126851,6359,7137,344
Казахстан,25.10.2020,147297,134117,2189,315,57,0
Лесото,05.06.2020,4,2,0,0,0,0
Судно "Diamond Princess",29.07.2020,712,651,13,0,0,0
Того,25.01.2020,0,0,0,0,0,0
Болгария,31.08.2020,16266,11483,629,76,170,16
Западный берег реки Иордан,28.06.2020,1990,447,4,175,1,0
Коморские острова,10.12.2020,617,605,7,0,0,0
Россия,14.07.2020,738787,511958,11597,6240,8790,175
Нигер,08.02.2020,0,0,0,0,0,0
Лаос,26.05.2020,19,14,0,0,0,0
Барбадос,05.12.2020,285,260,7,1,3,0
Новая Зеландия,29.01.2020,0,0,0,0,0,0
Испания,10.12.2020,1720056,150376,47344,7955,0,325
Монголия,28.03.2020,12,0,0,1,0,0
Словакия,19.12.2020,149275,106361,1510,3151,1801,70
Эквадор,18.02.2020,0,0,0,0,0,0
Португалия,18.11.2020,236015,153702,3632,5891,4257,79
Вануату,21.06.2020,0,0,0,0,0,0
Либерия,01.07.2020,804,335,37,24,11,1
Сейшельские острова,01.06.2020,11,11,0,0,0,0
Малави,02.09.2020,5579,3500,175,3,80,0
Гвинея-Бисау,12.01.2021,2478,2400,45,0,0,0
Нигерия,29.03.2020,111,3,1,22,0,0
Камбоджа,07.12.2020,350,307,0,2,1,0
Ямайка,23.06.2020,670,518,10,5,2,0
Гамбия,18.02.2020,0,0,0,0,0,0
Эсватини,20.09.2020,5269,4624,104,24,53,0
Парагвай,20.03.2020,13,0,0,2,0,0
Кипр,29.10.2020,4051,1882,25,121,0,0
Доминика,15.01.2021,109,101,0,0,0,0
Сент-Люсия,02.02.2020,0,0,0,0,0,0
Украина,25.08.2020,110949,54657,2362,1715,395,27
Бутан,14.12.2020,438,404,0,0,1,0
Германия,12.07.2020,199919,184414,9071,210,148,1
Гондурас,07.03.2020,0,0,0,0,0,0
Бахрейн,06.10.2020,73476,68606,262,360,673,1
Камерун,02.05.2020,2077,953,64,245,19,3
Гренада,23.03.2020,1,0,0,0,0,0
Маврикий,14.11.2020,470,428,10,0,0,0
Судан,20.03.2020,1,0,1,0,0,0
Джибути,22.02.2020,0,0,0,0,0,0
Таиланд,20.12.2020,5289,4053,60,382,12,0
Колумбия,22.01.2020,0,0,0,0,0,0
Франция,24.12.2020,2584333,194559,62389,21718,1367,291
Афганистан,12.01.2021,53584,44608,2301,46,471,13
Мексика,09.03.2020,7,1,0,0,0,0
Казахстан,17.05.2020,6157,3256,34,307,276,0
Мали,08.04.2020,59,16,7,3,4,2
Гвинея,21.10.2020,11599,10461,70,61,14,0
Барбадос,09.06.2020,92,81,7,0,0,0
Япония,05.03.2020,365,43,7,32,0,0
Новая Зеландия,03.08.2020,1567,1523,22,0,5,0
Испания,04.06.2020,240660,150376,27133,334,0,5
Нигер,24.07.2020,1124,1024,69,0,2,0
Лаос,19.12.2020,41,36,0,0,0,0
Коморские острова,04.06.2020,132,55,2,0,28,0
Египет,09.11.2020,109422,100439,6380,221,97,12
Судно "Diamond Princess",03.02.2020,0,0,0,0,0,0
Греция,15.09.2020,13730,8846,313,310,1584,3
Того,07.08.2020,1028,710,22,16,13,0
Ангола,03.12.2020,15361,8244,352,42,105,1
Польша,17.06.2020,30701,14921,1286,506,267,14
Индия,19.10.2020,7597063,6733328,115197,46790,69720,587
Сент-Китс и Невис,16.01.2021,34,32,0,0,0,0
Сьерра-Леоне,30.10.2020,2365,1798,74,3,3,0
Сомали,25.08.2020,3275,2443,95,6,0,2
Панама,16.05.2020,9449,6080,269,181,0,3
Micronesia,25.11.2020,0,0,0,0,0,0
Австралия,06.09.2020,26321,22467,762,43,137,9
Венесуэла,09.06.2020,2632,487,23,159,0,1
Мадагаскар,13.11.2020,17223,16516,249,0,0,0
Канада,18.07.2020,111875,98436,8939,316,155,3
Замбия,20.11.2020,17373,16606,356,23,15,0
Танзания,24.12.2020,509,183,21,0,0,0
Иордания,25.01.2021,321298,308883,4239,845,1176,15
Мальдивы,04.10.2020,10530,9364,34,65,54,0
Черногория,02.11.2020,19210,14456,320,496,240,7
Швеция,15.06.2020,52511,0,4891,684,0,17
Бельгия,09.01.2021,662694,0,20038,1991,0,46
Чехия,01.12.2020,528474,455177,8407,5176,3570,112
Мальта,07.04.2020,293,5,0,52,0,0
Великобритания,23.08.2020,327643,1547,41515,1048,0,6
Казахстан,20.11.2020,165558,141764,2369,980,467,1
Мексика,28.01.2021,1825519,1376073,155145,18670,13548,1506
Хорватия,19.06.2020,2280,2142,107,11,0,0
Коморские острова,16.12.2020,633,606,7,0,0,0
Сербия,12.05.2020,10243,3600,220,67,310,2
Барбадос,15.12.2020,297,273,7,1,1,0
Испания,16.12.2020,1773290,150376,48596,11078,0,195
Лаос,05.06.2020,19,18,0,0,0,0
Руанда,30.06.2020,1025,447,2,24,4,0
Болгария,10.09.2020,17598,12619,706,163,145,4
Того,31.01.2020,0,0,0,0,0,0
Судно "Diamond Princess",08.08.2020,712,651,13,0,0,0
Западный берег реки Иордан,08.07.2020,5029,494,20,382,0,2
Венесуэла,15.12.2020,108480,103271,965,355,234,5
Micronesia,12.05.2020,0,0,0,0,0,0
Узбекистан,23.01.2020,0,0,0,0,0,0
Албания,21.03.2020,76,2,2,6,2,0
Сьерра-Леоне,16.04.2020,15,0,0,2,0,0
Эфиопия,21.03.2020,9,0,0,0,0,0
Сент-Китс и Невис,05.03.2020,0,0,0,0,0,0
Фиджи,28.03.2020,5,0,0,0,0,0
Танзания,12.06.2020,509,183,21,0,0,0
Кувейт,16.12.2020,146971,142909,913,261,310,0
Индонезия,24.08.2020,155412,111060,6759,1877,3560,79
Шри-Ланка,10.07.2020,2454,1980,11,300,1,0
Иордания,08.03.2020,1,0,0,0,0,0
Бруней,14.09.2020,145,139,3,0,0,0
Чехия,18.05.2020,8586,5641,297,111,179,-1
Бельгия,21.02.2020,1,1,0,0,0,0
ОАЭ,21.03.2020,153,38,2,13,7,0
Монако,21.02.2020,0,0,0,0,0,0
Мавритания,26.08.2020,6977,6356,158,17,35,0
Эквадор,31.12.2020,212512,184507,14034,1000,0,11
Словакия,05.06.2020,1526,1379,28,0,3,0
Уганда,05.05.2020,98,55,0,1,0,0
Сейшельские острова,07.12.2020,184,168,0,0,0,0
Уругвай,14.10.2020,2388,2007,51,51,20,0
Норвегия,03.10.2020,14362,11190,275,78,0,0
Камбоджа,01.06.2020,125,123,0,0,0,0
США,12.07.2020,3311137,1006326,135996,58450,10750,465
Соломоновы острова,22.08.2020,0,0,0,0,0,0
Гвинея-Бисау,22.02.2020,0,0,0,0,0,0
Исландия,05.08.2020,1926,1825,10,8,0,0
Папский Престол,09.10.2020,12,12,0,0,0,0
Алжир,28.03.2020,454,31,29,45,2,3
Грузия,23.02.2020,0,0,0,0,0,0
Кипр,17.04.2020,750,77,12,15,0,0
Мьянма,01.02.2020,0,0,0,0,0,0
Марокко,27.08.2020,57085,41901,1011,1221,1315,27
Парагвай,29.01.2021,131886,106883,2693,969,774,12
Гондурас,26.01.2021,142880,60597,3486,896,120,24
Бутан,10.06.2020,59,18,0,0,1,0
Сент-Люсия,09.08.2020,25,24,0,0,0,0
Доминика,06.03.2020,0,0,0,0,0,0
Косово и Метохия,29.06.2020,2677,1425,49,87,31,1
Камерун,15.11.2020,22692,21510,433,0,0,0
Судан,29.01.2021,29291,21155,1798,225,0,0
Латвия,27.06.2020,1115,932,30,3,0,0
Киргизия,29.09.2020,46522,42761,1064,167,148,0
Франция,12.06.2020,195981,72695,29377,802,426,28
Колумбия,04.08.2020,334979,180258,11315,7129,6531,298
Гайана,22.03.2020,19,0,1,12,0,0
Таиланд,16.06.2020,3135,2993,58,0,6,0
Джибути,12.01.2021,5879,5801,61,2,12,0
Маврикий,03.05.2020,332,315,10,0,1,0
Люксембург,30.05.2020,4016,3815,110,4,0,0
Сомали,12.12.2020,4579,3529,121,0,0,0
Танзания,02.12.2020,509,183,21,0,0,0
Замбия,02.10.2020,14830,13980,333,28,19,0
Сьерра-Леоне,25.11.2020,2408,1829,74,2,0,0
Сент-Китс и Невис,06.01.2021,33,31,0,0,0,0
Австралия,12.09.2020,26651,23340,810,44,11,7
Micronesia,30.10.2020,0,0,0,0,0,0
Венесуэла,30.05.2020,1459,302,14,89,0,0
Мадагаскар,23.09.2020,16167,14788,226,31,45,0
Бельгия,19.01.2021,681250,0,20554,1479,0,82
Турция,07.05.2020,133721,82984,3641,1977,4782,57
Чехия,27.12.2020,670599,565841,11044,3030,2387,94
Великобритания,14.12.2020,1874867,4048,64500,20377,35,233
Иордания,03.01.2021,298208,276485,3903,1540,2499,26
Мальдивы,10.10.2020,10859,9683,34,51,29,0
Черногория,20.10.2020,15892,11581,247,132,293,7
Афганистан,18.08.2020,37710,27166,1382,43,0,4
Мали,17.03.2020,0,0,0,0,0,0
Гвинея,09.11.2020,12459,10847,74,45,30,0
Казахстан,21.04.2020,1995,489,19,143,42,0
Мексика,12.02.2020,0,0,0,0,0,0
Индия,23.09.2020,5732518,4674987,91149,86508,87374,1129
Того,01.08.2020,958,647,19,17,6,0
Судно "Diamond Princess",24.01.2020,0,0,0,0,0,0
Египет,21.10.2020,105883,98516,6155,178,103,13
Лаос,09.12.2020,41,28,0,0,0,0
Нигер,15.08.2020,1165,1077,69,4,2,0
Барбадос,30.05.2020,92,76,7,0,0,0
Греция,07.12.2020,116721,93764,3092,1250,0,89
Новая Зеландия,13.08.2020,1602,1531,22,13,0,0
Испания,29.05.2020,238564,150376,27121,658,0,2
Коморские острова,29.05.2020,87,24,2,0,0,0
Ангола,11.09.2020,3279,1288,131,62,11,1
Украина,16.09.2020,166694,74981,3404,3016,1559,78
Сент-Люсия,23.01.2020,0,0,0,0,0,0
Доминика,05.01.2021,88,83,0,0,0,0
Гамбия,01.02.2020,0,0,0,0,0,0
Гондурас,14.02.2020,0,0,0,0,0,0
Германия,02.07.2020,196370,179800,9006,477,700,11
Бутан,04.12.2020,424,387,0,6,1,0
Парагвай,15.04.2020,161,23,8,2,1,1
Эсватини,29.08.2020,4510,3359,91,49,149,0
Кипр,24.11.2020,9199,2055,46,252,0,2
Таиланд,28.11.2020,3977,3800,60,11,2,0
Джибути,28.02.2020,0,0,0,0,0,0
Маврикий,08.11.2020,453,416,10,0,0,0
Гренада,02.04.2020,10,0,0,1,0,0
Франция,02.12.2020,2299466,171197,53907,14228,1534,311
Колумбия,28.01.2020,0,0,0,0,0,0
Нидерланды,07.04.2020,19709,22,2108,783,14,234
Камерун,26.04.2020,1621,786,56,103,89,3
Судан,15.04.2020,32,4,5,3,0,0
Бахрейн,16.10.2020,77325,73421,292,371,408,3
Португалия,04.10.2020,79151,50207,2005,904,362,10
Сейшельские острова,07.06.2020,11,11,0,0,0,0
Эквадор,11.03.2020,17,0,0,2,0,0
Словакия,09.12.2020,121796,89769,1084,2564,2336,38
Монголия,07.04.2020,15,4,0,0,2,0
Либерия,11.07.2020,998,420,47,35,20,0
Вануату,13.07.2020,0,0,0,0,0,0
Малави,20.12.2020,6161,5663,187,8,1,0
Исландия,27.01.2020,0,0,0,0,0,0
Нигерия,04.04.2020,214,25,4,4,0,0
Гвинея-Бисау,18.01.2021,2509,2405,45,0,0,0
Италия,13.05.2020,222104,112541,31106,888,3502,195
Камбоджа,13.12.2020,359,309,0,0,2,0
Тунис,12.06.2020,1093,995,49,6,6,0
Португалия,28.02.2020,0,0,0,0,0,0
Экваториальная Гвинея,25.02.2020,0,0,0,0,0,0
Сент-Винсент и Гренадины,24.01.2020,0,0,0,0,0,0
Кабо-Верде,21.09.2020,5281,4674,52,24,75,1
Гватемала,21.03.2020,17,0,1,5,0,0
Молдавия,28.03.2020,231,2,2,32,0,0
Бенин,28.03.2020,6,0,0,0,0,0
Сан-Томе и Принсипи,01.10.2020,911,886,15,0,0,0
Сингапур,29.01.2020,7,0,0,0,0,0
